1;IL;2021-10-19;2021-10-19 23:59:00
2;AF;2021-10-19;2021-10-19 23:59:00
3;AL;2021-10-19;2021-10-19 23:59:00
4;DZ;2021-10-19;2021-10-19 23:59:00
5;AS;2021-10-19;2021-10-19 23:59:00
6;AD;2021-10-19;2021-10-19 23:59:00
7;AO;2021-10-19;2021-10-19 23:59:00
8;AI;2021-10-19;2021-10-19 23:59:00
9;AG;2021-10-19;2021-10-19 23:59:00
10;AR;2021-10-19;2021-10-19 23:59:00
11;AM;2021-10-19;2021-10-19 23:59:00
12;AW;2021-10-19;2021-10-19 23:59:00
13;AU;2021-10-19;2021-10-19 23:59:00
14;AT;2021-10-19;2021-10-19 23:59:00
15;AZ;2021-10-19;2021-10-19 23:59:00
16;BS;2021-10-19;2021-10-19 23:59:00
17;BH;2021-10-19;2021-10-19 23:59:00
18;BD;2021-10-19;2021-10-19 23:59:00
19;BB;2021-10-19;2021-10-19 23:59:00
20;BY;2021-10-19;2021-10-19 23:59:00
21;BE;2021-10-19;2021-10-19 23:59:00
22;BZ;2021-10-19;2021-10-19 23:59:00
23;BJ;2021-10-19;2021-10-19 23:59:00
24;BM;2021-10-19;2021-10-19 23:59:00
25;BT;2021-10-19;2021-10-19 23:59:00
26;BA;2021-10-19;2021-10-19 23:59:00
27;BW;2021-10-19;2021-10-19 23:59:00
28;BR;2021-10-19;2021-10-19 23:59:00
29;IO;2021-10-19;2021-10-19 23:59:00
30;BG;2021-10-19;2021-10-19 23:59:00
31;BF;2021-10-19;2021-10-19 23:59:00
32;BI;2021-10-19;2021-10-19 23:59:00
33;KH;2021-10-19;2021-10-19 23:59:00
34;CM;2021-10-19;2021-10-19 23:59:00
35;CA;2021-10-19;2021-10-19 23:59:00
36;CV;2021-10-19;2021-10-19 23:59:00
37;KY;2021-10-19;2021-10-19 23:59:00
38;CF;2021-10-19;2021-10-19 23:59:00
39;TD;2021-10-19;2021-10-19 23:59:00
40;CL;2021-10-19;2021-10-19 23:59:00
41;CN;2021-10-19;2021-10-19 23:59:00
42;CX;2021-10-19;2021-10-19 23:59:00
43;CO;2021-10-19;2021-10-19 23:59:00
44;KM;2021-10-19;2021-10-19 23:59:00
45;CG;2021-10-19;2021-10-19 23:59:00
46;CK;2021-10-19;2021-10-19 23:59:00
47;CR;2021-10-19;2021-10-19 23:59:00
48;HR;2021-10-19;2021-10-19 23:59:00
49;CU;2021-10-19;2021-10-19 23:59:00
50;CY;2021-10-19;2021-10-19 23:59:00
51;CZ;2021-10-19;2021-10-19 23:59:00
52;DK;2021-10-19;2021-10-19 23:59:00
53;DJ;2021-10-19;2021-10-19 23:59:00
54;DM;2021-10-19;2021-10-19 23:59:00
55;DO;2021-10-19;2021-10-19 23:59:00
56;EC;2021-10-19;2021-10-19 23:59:00
57;EG;2021-10-19;2021-10-19 23:59:00
58;SV;2021-10-19;2021-10-19 23:59:00
59;GQ;2021-10-19;2021-10-19 23:59:00
60;ER;2021-10-19;2021-10-19 23:59:00
61;EE;2021-10-19;2021-10-19 23:59:00
62;ET;2021-10-19;2021-10-19 23:59:00
63;FO;2021-10-19;2021-10-19 23:59:00
64;FJ;2021-10-19;2021-10-19 23:59:00
65;FI;2021-10-19;2021-10-19 23:59:00
66;FR;2021-10-19;2021-10-19 23:59:00
67;GF;2021-10-19;2021-10-19 23:59:00
68;PF;2021-10-19;2021-10-19 23:59:00
69;GA;2021-10-19;2021-10-19 23:59:00
70;GM;2021-10-19;2021-10-19 23:59:00
71;GE;2021-10-19;2021-10-19 23:59:00
72;DE;2021-10-19;2021-10-19 23:59:00
73;GH;2021-10-19;2021-10-19 23:59:00
74;GI;2021-10-19;2021-10-19 23:59:00
75;GR;2021-10-19;2021-10-19 23:59:00
76;GL;2021-10-19;2021-10-19 23:59:00
77;GD;2021-10-19;2021-10-19 23:59:00
78;GP;2021-10-19;2021-10-19 23:59:00
79;GU;2021-10-19;2021-10-19 23:59:00
80;GT;2021-10-19;2021-10-19 23:59:00
81;GN;2021-10-19;2021-10-19 23:59:00
82;GW;2021-10-19;2021-10-19 23:59:00
83;GY;2021-10-19;2021-10-19 23:59:00
84;HT;2021-10-19;2021-10-19 23:59:00
85;HN;2021-10-19;2021-10-19 23:59:00
86;HU;2021-10-19;2021-10-19 23:59:00
87;IS;2021-10-19;2021-10-19 23:59:00
88;IN;2021-10-19;2021-10-19 23:59:00
89;ID;2021-10-19;2021-10-19 23:59:00
90;IQ;2021-10-19;2021-10-19 23:59:00
91;IE;2021-10-19;2021-10-19 23:59:00
92;IL;2021-10-19;2021-10-19 23:59:00
93;IT;2021-10-19;2021-10-19 23:59:00
94;JM;2021-10-19;2021-10-19 23:59:00
95;JP;2021-10-19;2021-10-19 23:59:00
96;JO;2021-10-19;2021-10-19 23:59:00
97;KZ;2021-10-19;2021-10-19 23:59:00
98;KE;2021-10-19;2021-10-19 23:59:00
99;KI;2021-10-19;2021-10-19 23:59:00
100;KW;2021-10-19;2021-10-19 23:59:00
101;KG;2021-10-19;2021-10-19 23:59:00
102;LV;2021-10-19;2021-10-19 23:59:00
